step time inner_iter continuity_l2 mom_u_l2 mom_v_l2
1240 2.376050e+00 1 3.493759e-05 6.451728e-12 3.002228e-15
1250 2.394280e+00 1 3.357062e-05 6.335595e-12 2.974178e-15
1260 2.412497e+00 1 3.226465e-05 6.226170e-12 2.947172e-15
1270 2.430701e+00 1 3.102025e-05 6.123101e-12 2.921172e-15
1280 2.448892e+00 1 2.983802e-05 6.026046e-12 2.896143e-15
1290 2.467070e+00 1 2.871854e-05 5.934675e-12 2.872051e-15
1300 2.485234e+00 1 2.766237e-05 5.848667e-12 2.848862e-15
1310 2.503386e+00 1 2.667003e-05 5.767713e-12 2.826546e-15
1320 2.521524e+00 1 2.574199e-05 5.691514e-12 2.805071e-15
1330 2.539650e+00 1 2.487861e-05 5.619784e-12 2.784410e-15
1340 2.557762e+00 1 2.408014e-05 5.552246e-12 2.764533e-15
1350 2.575861e+00 1 2.334666e-05 5.488634e-12 2.745415e-15
1360 2.593947e+00 1 2.267806e-05 5.428695e-12 2.727029e-15
1370 2.612020e+00 1 2.207397e-05 5.372184e-12 2.709352e-15
1380 2.630080e+00 1 2.153375e-05 5.318870e-12 2.692360e-15
1390 2.648127e+00 1 2.105643e-05 5.268532e-12 2.676030e-15
1400 2.666161e+00 1 2.064071e-05 5.220958e-12 2.660340e-15
1410 2.684182e+00 1 2.028495e-05 5.175950e-12 2.645269e-15
1420 2.702190e+00 1 1.998711e-05 5.133317e-12 2.630798e-15
1430 2.720185e+00 1 1.974487e-05 5.092879e-12 2.616906e-15
1440 2.738167e+00 1 1.955556e-05 5.406023e-12 2.605509e-15
1450 2.756136e+00 1 1.941623e-05 5.167000e-12 2.599838e-15
1460 2.774092e+00 1 1.932374e-05 5.127847e-12 2.587623e-15
1470 2.792035e+00 1 1.927479e-05 5.090345e-12 2.575913e-15
1480 2.809966e+00 1 1.926597e-05 5.054368e-12 2.564691e-15
1490 2.827883e+00 1 1.929383e-05 5.019802e-12 2.553944e-15
1500 2.845788e+00 1 1.935493e-05 4.986538e-12 2.543655e-15
1510 2.863679e+00 1 1.944592e-05 4.954475e-12 2.533811e-15
1520 2.881558e+00 1 1.956354e-05 4.923520e-12 2.524399e-15
1530 2.899424e+00 1 1.970467e-05 4.893586e-12 2.515406e-15
1540 2.917277e+00 1 1.986637e-05 4.864591e-12 2.506818e-15
1550 2.935118e+00 1 2.004585e-05 4.836462e-12 2.498624e-15
1560 2.952945e+00 1 2.024060e-05 4.809130e-12 2.490813e-15
1570 2.970760e+00 1 2.044827e-05 4.782531e-12 2.483372e-15
1580 2.988562e+00 1 2.066670e-05 4.756608e-12 2.476292e-15
1590 3.006352e+00 1 2.089391e-05 4.731306e-12 2.469561e-15
1600 3.024128e+00 1 2.112813e-05 4.706579e-12 2.463169e-15
1610 3.041892e+00 1 2.136775e-05 4.682380e-12 2.457106e-15
1620 3.059643e+00 1 2.161131e-05 4.658670e-12 2.451364e-15
1630 3.077382e+00 1 2.185752e-05 4.635414e-12 2.445932e-15
1640 3.095108e+00 1 2.210522e-05 4.612577e-12 2.440803e-15
1650 3.112821e+00 1 2.235341e-05 4.590130e-12 2.435967e-15
1660 3.130522e+00 1 2.260118e-05 4.568047e-12 2.431415e-15
1670 3.148210e+00 1 2.284773e-05 4.546304e-12 2.427141e-15
1680 3.165885e+00 1 2.309238e-05 4.524881e-12 2.423137e-15
1690 3.183548e+00 1 2.333451e-05 4.503758e-12 2.419394e-15
1700 3.201199e+00 1 2.357359e-05 4.482921e-12 2.415905e-15
1710 3.218837e+00 1 2.380918e-05 4.462355e-12 2.412664e-15
1720 3.236462e+00 1 2.404088e-05 4.442047e-12 2.409664e-15
1730 3.254075e+00 1 2.426834e-05 4.421988e-12 2.406897e-15
1740 3.271675e+00 1 2.449130e-05 4.402170e-12 2.404358e-15
1750 3.289263e+00 1 2.470950e-05 4.382583e-12 2.402040e-15
1760 3.306839e+00 1 2.492274e-05 4.363224e-12 2.399938e-15
1770 3.324402e+00 1 2.513076e-05 4.344086e-12 2.398044e-15
1780 3.341952e+00 1 2.533362e-05 4.325168e-12 2.396354e-15
1790 3.359491e+00 1 2.553116e-05 4.306465e-12 2.394862e-15
1800 3.377017e+00 1 2.572331e-05 4.287978e-12 2.393563e-15
1810 3.394530e+00 1 2.591000e-05 4.269704e-12 2.392452e-15
1820 3.412031e+00 1 2.609120e-05 4.251645e-12 2.391523e-15
1830 3.429520e+00 1 2.626689e-05 4.233799e-12 2.390772e-15
1840 3.446997e+00 1 2.643707e-05 4.216169e-12 2.390193e-15
1850 3.464462e+00 1 2.660176e-05 4.198756e-12 2.389783e-15
1860 3.481914e+00 1 2.676098e-05 4.181561e-12 2.389537e-15
1870 3.499354e+00 1 2.691478e-05 4.164587e-12 2.389450e-15
1880 3.516781e+00 1 2.706320e-05 4.147836e-12 2.389518e-15
1890 3.534197e+00 1 2.720629e-05 4.131311e-12 2.389736e-15
1900 3.551601e+00 1 2.734412e-05 4.115015e-12 2.390102e-15
1910 3.568992e+00 1 2.747676e-05 4.745540e-12 2.394159e-15
1920 3.586371e+00 1 2.760427e-05 4.293002e-12 2.410487e-15
1930 3.603738e+00 1 2.772674e-05 4.273288e-12 2.411185e-15
1940 3.621093e+00 1 2.784425e-05 4.254085e-12 2.412015e-15
1950 3.638436e+00 1 2.795689e-05 4.235383e-12 2.412975e-15
1960 3.655767e+00 1 2.806473e-05 4.217176e-12 2.414060e-15
1970 3.673086e+00 1 2.816788e-05 4.199454e-12 2.415268e-15
1980 3.690393e+00 1 2.826642e-05 4.182210e-12 2.416595e-15
1990 3.707688e+00 1 2.836044e-05 4.165436e-12 2.418038e-15
2000 3.724971e+00 1 2.845005e-05 4.149126e-12 2.419595e-15
2010 3.742242e+00 1 2.853533e-05 4.133273e-12 2.421261e-15
2020 3.759501e+00 1 2.861638e-05 4.117869e-12 2.423036e-15
2030 3.776748e+00 1 2.869329e-05 4.102908e-12 2.424914e-15
2040 3.793984e+00 1 2.876617e-05 4.088383e-12 2.426895e-15
2050 3.811207e+00 1 2.883511e-05 4.074288e-12 2.428975e-15
2060 3.828419e+00 1 2.890019e-05 4.060617e-12 2.431152e-15
2070 3.845619e+00 1 2.896152e-05 4.047364e-12 2.433422e-15
2080 3.862807e+00 1 2.901919e-05 4.034521e-12 2.435785e-15
2090 3.879983e+00 1 2.907329e-05 4.022084e-12 2.438237e-15
2100 3.897148e+00 1 2.912391e-05 4.010047e-12 2.440776e-15
2110 3.914301e+00 1 2.917114e-05 3.998403e-12 2.443399e-15
2120 3.931442e+00 1 2.921507e-05 3.987147e-12 2.446105e-15
2130 3.948572e+00 1 2.925580e-05 3.976273e-12 2.448892e-15
2140 3.965690e+00 1 2.929340e-05 3.965775e-12 2.451756e-15
2150 3.982796e+00 1 2.932796e-05 3.955647e-12 2.454697e-15
2160 3.999891e+00 1 2.935957e-05 3.945885e-12 2.457711e-15
2170 4.016974e+00 1 2.938831e-05 3.936482e-12 2.460798e-15
2180 4.034045e+00 1 2.941426e-05 3.927432e-12 2.463955e-15
2190 4.051105e+00 1 2.943750e-05 3.918731e-12 2.467181e-15
2200 4.068154e+00 1 2.945811e-05 3.910372e-12 2.470473e-15
2210 4.085191e+00 1 2.947616e-05 3.902351e-12 2.473829e-15
2220 4.102217e+00 1 2.949174e-05 3.894661e-12 2.477249e-15
