step time inner_iter continuity_l2 mom_u_l2 mom_v_l2
1350 2.174937e+00 1 6.376687e-05 3.149425e-12 3.480637e-15
1360 2.192342e+00 1 6.324268e-05 3.142824e-12 3.445843e-15
1370 2.209752e+00 1 6.272606e-05 3.135771e-12 3.411545e-15
1380 2.227166e+00 1 6.221614e-05 3.128262e-12 3.377733e-15
1390 2.244584e+00 1 6.171212e-05 3.120290e-12 3.344394e-15
1400 2.262005e+00 1 6.121324e-05 3.111852e-12 3.311520e-15
1410 2.279431e+00 1 6.071880e-05 3.102945e-12 3.279100e-15
1420 2.296860e+00 1 6.022815e-05 3.093568e-12 3.247126e-15
1430 2.314292e+00 1 5.974068e-05 3.083721e-12 3.215589e-15
1440 2.331727e+00 1 5.925584e-05 3.073407e-12 3.184482e-15
1450 2.349165e+00 1 5.877313e-05 3.062628e-12 3.153798e-15
1460 2.366606e+00 1 5.829207e-05 3.051388e-12 3.123530e-15
1470 2.384049e+00 1 5.781226e-05 3.039692e-12 3.093672e-15
1480 2.401495e+00 1 5.733331e-05 3.027546e-12 3.064217e-15
1490 2.418943e+00 1 5.685488e-05 3.014957e-12 3.035160e-15
1500 2.436394e+00 1 5.637668e-05 3.001933e-12 3.006496e-15
1510 2.453846e+00 1 5.589844e-05 2.988482e-12 2.978220e-15
1520 2.471300e+00 1 5.541991e-05 2.974615e-12 2.950326e-15
1530 2.488756e+00 1 5.494090e-05 3.182627e-12 2.948121e-15
1540 2.506213e+00 1 5.446124e-05 3.161205e-12 2.919833e-15
1550 2.523671e+00 1 5.398077e-05 3.139666e-12 2.891959e-15
1560 2.541131e+00 1 5.349936e-05 3.118013e-12 2.864494e-15
1570 2.558591e+00 1 5.301691e-05 3.096248e-12 2.837433e-15
1580 2.576053e+00 1 5.253334e-05 3.074376e-12 2.810770e-15
1590 2.593515e+00 1 5.204859e-05 3.052400e-12 2.784502e-15
1600 2.610977e+00 1 5.156262e-05 3.030327e-12 2.758622e-15
1610 2.628440e+00 1 5.107426e-05 3.008149e-12 2.733084e-15
1620 2.645904e+00 1 5.067568e-05 2.985482e-12 2.706357e-15
1630 2.663367e+00 1 5.040391e-05 2.962679e-12 2.679526e-15
1640 2.680831e+00 1 5.016545e-05 2.939755e-12 2.652643e-15
1650 2.698294e+00 1 4.992107e-05 2.916723e-12 2.625792e-15
1660 2.715757e+00 1 4.965524e-05 2.893595e-12 2.599054e-15
1670 2.733219e+00 1 4.936426e-05 2.870385e-12 2.572496e-15
1680 2.750681e+00 1 4.904933e-05 2.847102e-12 2.546169e-15
1690 2.768142e+00 1 4.871307e-05 2.823759e-12 2.520110e-15
1700 2.785603e+00 1 4.835828e-05 2.800367e-12 2.494348e-15
1710 2.803062e+00 1 4.798746e-05 2.776937e-12 2.468902e-15
1720 2.820521e+00 1 4.760274e-05 2.753480e-12 2.443787e-15
1730 2.837978e+00 1 4.720590e-05 2.730006e-12 2.419013e-15
1740 2.855433e+00 1 4.679844e-05 2.706527e-12 2.394584e-15
1750 2.872887e+00 1 4.638162e-05 2.683052e-12 2.370506e-15
1760 2.890340e+00 1 4.595651e-05 2.659591e-12 2.346779e-15
1770 2.907791e+00 1 4.552404e-05 2.636155e-12 2.323405e-15
1780 2.925240e+00 1 4.508502e-05 2.612753e-12 2.300383e-15
1790 2.942687e+00 1 4.464017e-05 2.589394e-12 2.277713e-15
1800 2.960132e+00 1 4.419013e-05 2.566089e-12 2.255392e-15
1810 2.977575e+00 1 4.373547e-05 2.542846e-12 2.233418e-15
1820 2.995016e+00 1 4.327673e-05 2.519674e-12 2.211789e-15
1830 3.012454e+00 1 4.281438e-05 2.496581e-12 2.190502e-15
1840 3.029890e+00 1 4.235400e-05 2.473436e-12 2.169089e-15
1850 3.047323e+00 1 4.200106e-05 2.450125e-12 2.147138e-15
1860 3.064753e+00 1 4.174025e-05 2.426867e-12 2.125358e-15
1870 3.082180e+00 1 4.152186e-05 3.814960e-12 2.821314e-15
1880 3.099605e+00 1 4.130945e-05 3.781217e-12 2.787434e-15
1890 3.117026e+00 1 4.108217e-05 3.747709e-12 2.754061e-15
1900 3.134445e+00 1 4.083148e-05 3.714450e-12 2.721225e-15
1910 3.151860e+00 1 4.055601e-05 3.681453e-12 2.688940e-15
1920 3.169272e+00 1 4.025756e-05 3.648729e-12 2.657209e-15
1930 3.186680e+00 1 3.993898e-05 3.616290e-12 2.626029e-15
1940 3.204085e+00 1 3.960314e-05 3.584143e-12 2.595396e-15
1950 3.221486e+00 1 3.925259e-05 3.552298e-12 2.565300e-15
1960 3.238884e+00 1 3.888949e-05 7.553828e-12 4.817974e-15
1970 3.256278e+00 1 3.851554e-05 7.481194e-12 4.761097e-15
1980 3.273668e+00 1 3.813398e-05 7.408894e-12 4.705061e-15
1990 3.291054e+00 1 3.781613e-05 7.335383e-12 4.649604e-15
2000 3.308436e+00 1 3.755328e-05 7.262538e-12 4.595480e-15
2010 3.325814e+00 1 3.731148e-05 7.190390e-12 4.542562e-15
2020 3.343187e+00 1 3.707066e-05 7.118969e-12 4.490708e-15
2030 3.360557e+00 1 3.682155e-05 7.048301e-12 4.439806e-15
2040 3.377921e+00 1 3.656064e-05 6.978409e-12 4.389777e-15
2050 3.395282e+00 1 3.628690e-05 6.909312e-12 4.340569e-15
2060 3.412638e+00 1 3.600032e-05 6.841023e-12 4.292146e-15
2070 3.429989e+00 1 3.570134e-05 6.773555e-12 4.244489e-15
2080 3.447336e+00 1 3.539060e-05 6.706918e-12 4.197583e-15
2090 3.464678e+00 1 3.506887e-05 6.641118e-12 4.151421e-15
2100 3.482015e+00 1 3.473696e-05 6.576160e-12 4.105996e-15
2110 3.499347e+00 1 3.439568e-05 6.512047e-12 4.061304e-15
2120 3.516675e+00 1 3.404584e-05 6.448780e-12 4.017339e-15
2130 3.533997e+00 1 3.368823e-05 6.386361e-12 3.974098e-15
2140 3.551314e+00 1 3.332360e-05 6.324786e-12 3.931575e-15
2150 3.568626e+00 1 3.295266e-05 6.264055e-12 3.889765e-15
2160 3.585933e+00 1 3.257607e-05 6.204163e-12 3.848661e-15
2170 3.603235e+00 1 3.219448e-05 6.145108e-12 3.808257e-15
2180 3.620531e+00 1 3.180847e-05 6.086884e-12 3.768545e-15
2190 3.637822e+00 1 3.141859e-05 6.029485e-12 3.729518e-15
2200 3.655107e+00 1 3.102535e-05 6.046868e-12 3.691618e-15
2210 3.672387e+00 1 3.062925e-05 5.989959e-12 3.653897e-15
2220 3.689661e+00 1 3.023071e-05 5.933879e-12 3.616838e-15
2230 3.706929e+00 1 2.983017e-05 5.878619e-12 3.580432e-15
2240 3.724192e+00 1 2.942801e-05 5.824172e-12 3.544669e-15
2250 3.741449e+00 1 2.902459e-05 5.770530e-12 3.509541e-15
2260 3.758701e+00 1 2.862025e-05 5.717683e-12 3.475037e-15
2270 3.775946e+00 1 2.821533e-05 5.665623e-12 3.441148e-15
2280 3.793186e+00 1 2.781010e-05 5.614341e-12 3.407864e-15
2290 3.810419e+00 1 2.740482e-05 5.563828e-12 3.375176e-15
2300 3.827647e+00 1 2.699972e-05 5.514074e-12 3.343075e-15
2310 3.844868e+00 1 2.659504e-05 5.465069e-12 3.311550e-15
2320 3.862083e+00 1 2.619101e-05 5.416805e-12 3.280594e-15
2330 3.879293e+00 1 2.578785e-05 5.369271e-12 3.250195e-15
2340 3.896496e+00 1 2.538576e-05 5.322458e-12 3.220345e-15
2350 3.913692e+00 1 2.498493e-05 5.276356e-12 3.191035e-15
2360 3.930883e+00 1 2.458555e-05 5.230956e-12 3.162255e-15
2370 3.948067e+00 1 2.418778e-05 5.186247e-12 3.133997e-15
2380 3.965244e+00 1 2.379177e-05 5.142220e-12 3.106250e-15
2390 3.982416e+00 1 2.339766e-05 5.098865e-12 3.079008e-15
2400 3.999580e+00 1 2.300561e-05 5.056173e-12 3.052260e-15
2410 4.016739e+00 1 2.261573e-05 5.014133e-12 3.025998e-15
2420 4.033890e+00 1 2.222815e-05 4.972737e-12 3.000214e-15
2430 4.051036e+00 1 2.184767e-05 4.931969e-12 2.974880e-15
2440 4.068174e+00 1 2.148980e-05 4.891827e-12 2.949878e-15
2450 4.085306e+00 1 2.114890e-05 4.852289e-12 2.925195e-15
2460 4.102431e+00 1 2.081790e-05 4.813334e-12 2.900864e-15
2470 4.119550e+00 1 2.049310e-05 4.774942e-12 2.876909e-15
2480 4.136661e+00 1 2.017287e-05 4.737100e-12 2.853342e-15
2490 4.153766e+00 1 1.985641e-05 4.699798e-12 2.830165e-15
2500 4.170864e+00 1 1.954313e-05 4.663023e-12 2.807376e-15
2510 4.187955e+00 1 1.923252e-05 4.626769e-12 2.784968e-15
2520 4.205039e+00 1 1.892414e-05 4.591027e-12 2.762936e-15
2530 4.222117e+00 1 1.861763e-05 4.555788e-12 2.741270e-15
2540 4.239187e+00 1 1.831271e-05 4.521047e-12 2.719964e-15
2550 4.256250e+00 1 1.800917e-05 4.486797e-12 2.699011e-15
2560 4.273307e+00 1 1.770687e-05 4.453030e-12 2.678405e-15
2570 4.290356e+00 1 1.740574e-05 4.419742e-12 2.658141e-15
2580 4.307398e+00 1 1.710574e-05 4.386924e-12 2.638212e-15
2590 4.324433e+00 1 1.680688e-05 4.354572e-12 2.618614e-15
2600 4.341461e+00 1 1.650916e-05 4.322679e-12 2.599342e-15
2610 4.358482e+00 1 1.621267e-05 4.291239e-12 2.580391e-15
2620 4.375495e+00 1 1.591751e-05 4.260247e-12 2.561757e-15
2630 4.392501e+00 1 1.562378e-05 4.229696e-12 2.543435e-15
2640 4.409500e+00 1 1.533161e-05 4.199581e-12 2.525420e-15
2650 4.426492e+00 1 1.504109e-05 4.169896e-12 2.507709e-15
2660 4.443477e+00 1 1.475235e-05 4.140636e-12 2.490296e-15
2670 4.460454e+00 1 1.446551e-05 4.111794e-12 2.473177e-15
2680 4.477424e+00 1 1.418069e-05 4.083365e-12 2.456348e-15
2690 4.494386e+00 1 1.389802e-05 4.055344e-12 2.439805e-15
2700 4.511341e+00 1 1.361764e-05 4.027724e-12 2.423543e-15
2710 4.528289e+00 1 1.333966e-05 4.000501e-12 2.407559e-15
2720 4.545229e+00 1 1.306423e-05 3.973668e-12 2.391847e-15
2730 4.562162e+00 1 1.279148e-05 3.947222e-12 2.376405e-15
2740 4.579087e+00 1 1.252153e-05 3.921155e-12 2.361228e-15
2750 4.596005e+00 1 1.225453e-05 3.895462e-12 2.346312e-15
2760 4.612915e+00 1 1.199060e-05 3.870140e-12 2.331652e-15
2770 4.629818e+00 1 1.172989e-05 3.845182e-12 2.317246e-15
2780 4.646713e+00 1 1.147254e-05 3.820583e-12 2.303089e-15
2790 4.663601e+00 1 1.121868e-05 3.796338e-12 2.289177e-15
2800 4.680481e+00 1 1.096845e-05 3.772443e-12 2.275506e-15
2810 4.697354e+00 1 1.072200e-05 3.748892e-12 2.262073e-15
2820 4.714219e+00 1 1.047948e-05 3.725680e-12 2.248874e-15
2830 4.731076e+00 1 1.024104e-05 3.702803e-12 2.235906e-15
2840 4.747926e+00 1 1.000682e-05 3.680255e-12 2.223164e-15
2850 4.764768e+00 1 9.777005e-06 3.891259e-12 2.214088e-15
2860 4.781602e+00 1 9.551734e-06 3.865739e-12 2.201822e-15
2870 4.798429e+00 1 9.331185e-06 3.840610e-12 2.189771e-15
2880 4.815248e+00 1 9.116964e-06 3.815821e-12 2.177938e-15
2890 4.832059e+00 1 8.914763e-06 3.791412e-12 2.166340e-15
2900 4.848863e+00 1 8.725909e-06 3.767384e-12 2.154972e-15
2910 4.865658e+00 1 8.546594e-06 3.743728e-12 2.143826e-15
2920 4.882446e+00 1 8.374212e-06 3.720435e-12 2.132890e-15
2930 4.899227e+00 1 8.207769e-06 3.697499e-12 2.122159e-15
2940 4.915999e+00 1 8.046951e-06 3.674913e-12 2.111626e-15
2950 4.932764e+00 1 7.891633e-06 3.652669e-12 2.101285e-15
2960 4.949521e+00 1 7.741714e-06 3.630763e-12 2.091134e-15
2970 4.966270e+00 1 7.597100e-06 3.609187e-12 2.081166e-15
2980 4.983012e+00 1 7.457712e-06 3.587938e-12 2.071377e-15
2990 4.999745e+00 1 7.323494e-06 3.567008e-12 2.061764e-15
3000 5.016471e+00 1 7.194424e-06 3.546394e-12 2.052323e-15
3010 5.033189e+00 1 7.070514e-06 3.526089e-12 2.043050e-15
3020 5.049899e+00 1 6.951806e-06 3.506090e-12 2.033941e-15
3030 5.066601e+00 1 6.838370e-06 3.486392e-12 2.024994e-15
3040 5.083295e+00 1 6.730295e-06 3.466990e-12 2.016204e-15
3050 5.099982e+00 1 6.627690e-06 3.447880e-12 2.007569e-15
3060 5.116660e+00 1 6.530674e-06 3.429058e-12 1.999085e-15
3070 5.133331e+00 1 6.439373e-06 3.410519e-12 1.990751e-15
3080 5.149994e+00 1 6.353914e-06 3.392259e-12 1.982564e-15
3090 5.166649e+00 1 6.274423e-06 3.374276e-12 1.974521e-15
3100 5.183296e+00 1 6.201019e-06 3.356563e-12 1.966619e-15
3110 5.199935e+00 1 6.133809e-06 3.339119e-12 1.958857e-15
3120 5.216566e+00 1 6.072891e-06 3.321939e-12 1.951233e-15
3130 5.233189e+00 1 6.018345e-06 3.305019e-12 1.943743e-15
3140 5.249805e+00 1 5.970233e-06 3.288357e-12 1.936387e-15
3150 5.266412e+00 1 5.928595e-06 3.271948e-12 1.929162e-15
3160 5.283012e+00 1 5.893453e-06 3.255788e-12 1.922066e-15
3170 5.299603e+00 1 5.864803e-06 3.239876e-12 1.915098e-15
3180 5.316187e+00 1 5.843019e-06 5.514230e-12 1.929153e-15
