step time f_darcy f_darcy_dpdx tau_avg u_bulk reynolds
1220 1.949145e+00 4.407294e-02 1.068411e-01 1.175651e-03 4.619535e-01 6.159380e+03
1230 1.966477e+00 4.410236e-02 1.067068e-01 1.177917e-03 4.622442e-01 6.163256e+03
1240 1.983816e+00 4.413033e-02 1.065728e-01 1.180146e-03 4.625346e-01 6.167128e+03
1250 2.001162e+00 4.415689e-02 1.064393e-01 1.182338e-03 4.628247e-01 6.170996e+03
1260 2.018514e+00 4.418209e-02 1.063061e-01 1.184494e-03 4.631145e-01 6.174860e+03
1270 2.035872e+00 4.420596e-02 1.061733e-01 1.186617e-03 4.634040e-01 6.178720e+03
1280 2.053236e+00 4.422854e-02 1.060409e-01 1.188705e-03 4.636933e-01 6.182577e+03
1290 2.070606e+00 4.424987e-02 1.059088e-01 1.190761e-03 4.639822e-01 6.186430e+03
1300 2.087982e+00 4.426999e-02 1.057772e-01 1.192785e-03 4.642709e-01 6.190279e+03
1310 2.105362e+00 4.428892e-02 1.056459e-01 1.194779e-03 4.645593e-01 6.194124e+03
1320 2.122749e+00 4.430670e-02 1.055149e-01 1.196741e-03 4.648474e-01 6.197966e+03
1330 2.140140e+00 4.432336e-02 1.053844e-01 1.198675e-03 4.651353e-01 6.201804e+03
1340 2.157536e+00 4.433893e-02 1.052542e-01 1.200579e-03 4.654229e-01 6.205638e+03
1350 2.174937e+00 4.435344e-02 1.051244e-01 1.202455e-03 4.657102e-01 6.209469e+03
1360 2.192342e+00 4.436691e-02 1.049949e-01 1.204303e-03 4.659972e-01 6.213296e+03
1370 2.209752e+00 4.437937e-02 1.048658e-01 1.206125e-03 4.662840e-01 6.217120e+03
1380 2.227166e+00 4.439084e-02 1.047370e-01 1.207919e-03 4.665705e-01 6.220940e+03
1390 2.244584e+00 4.440134e-02 1.046086e-01 1.209688e-03 4.668568e-01 6.224757e+03
1400 2.262005e+00 4.441091e-02 1.044806e-01 1.211432e-03 4.671427e-01 6.228570e+03
1410 2.279431e+00 4.441955e-02 1.043529e-01 1.213150e-03 4.674285e-01 6.232380e+03
1420 2.296860e+00 4.442728e-02 1.042256e-01 1.214844e-03 4.677139e-01 6.236186e+03
1430 2.314292e+00 4.443414e-02 1.040986e-01 1.216513e-03 4.679992e-01 6.239989e+03
1440 2.331727e+00 4.444013e-02 1.039719e-01 1.218160e-03 4.682841e-01 6.243788e+03
1450 2.349165e+00 4.444528e-02 1.038456e-01 1.219782e-03 4.685688e-01 6.247584e+03
1460 2.366606e+00 4.444960e-02 1.037196e-01 1.221383e-03 4.688533e-01 6.251377e+03
1470 2.384049e+00 4.445310e-02 1.035940e-01 1.222960e-03 4.691375e-01 6.255166e+03
1480 2.401495e+00 4.445582e-02 1.034687e-01 1.224516e-03 4.694214e-01 6.258952e+03
1490 2.418943e+00 4.445775e-02 1.033438e-01 1.226050e-03 4.697051e-01 6.262735e+03
1500 2.436394e+00 4.445892e-02 1.032192e-01 1.227562e-03 4.699885e-01 6.266514e+03
1510 2.453846e+00 4.445934e-02 1.030949e-01 1.229054e-03 4.702717e-01 6.270290e+03
1520 2.471300e+00 4.445903e-02 1.029709e-01 1.230524e-03 4.705547e-01 6.274063e+03
1530 2.488756e+00 4.445800e-02 1.028473e-01 1.231975e-03 4.708374e-01 6.277832e+03
1540 2.506213e+00 4.445626e-02 1.027240e-01 1.233405e-03 4.711199e-01 6.281598e+03
1550 2.523671e+00 4.445383e-02 1.026011e-01 1.234816e-03 4.714021e-01 6.285361e+03
1560 2.541131e+00 4.445072e-02 1.024784e-01 1.236207e-03 4.716841e-01 6.289121e+03
1570 2.558591e+00 4.444695e-02 1.023561e-01 1.237579e-03 4.719658e-01 6.292877e+03
1580 2.576053e+00 4.444252e-02 1.022341e-01 1.238933e-03 4.722473e-01 6.296631e+03
1590 2.593515e+00 4.443745e-02 1.021125e-01 1.240267e-03 4.725286e-01 6.300381e+03
1600 2.610977e+00 4.443176e-02 1.019911e-01 1.241584e-03 4.728096e-01 6.304128e+03
1610 2.628440e+00 4.442545e-02 1.018701e-01 1.242882e-03 4.730904e-01 6.307872e+03
1620 2.645904e+00 4.441853e-02 1.017494e-01 1.244163e-03 4.733709e-01 6.311612e+03
1630 2.663367e+00 4.441102e-02 1.016290e-01 1.245427e-03 4.736512e-01 6.315350e+03
1640 2.680831e+00 4.440293e-02 1.015089e-01 1.246673e-03 4.739313e-01 6.319084e+03
1650 2.698294e+00 4.439425e-02 1.013891e-01 1.247901e-03 4.742111e-01 6.322815e+03
1660 2.715757e+00 4.438498e-02 1.012697e-01 1.249113e-03 4.744908e-01 6.326543e+03
1670 2.733219e+00 4.437514e-02 1.011505e-01 1.250307e-03 4.747701e-01 6.330269e+03
1680 2.750681e+00 4.436471e-02 1.010317e-01 1.251483e-03 4.750493e-01 6.333991e+03
1690 2.768142e+00 4.435371e-02 1.009131e-01 1.252643e-03 4.753282e-01 6.337710e+03
1700 2.785603e+00 4.434213e-02 1.007949e-01 1.253785e-03 4.756069e-01 6.341426e+03
1710 2.803062e+00 4.432998e-02 1.006770e-01 1.254909e-03 4.758854e-01 6.345138e+03
1720 2.820521e+00 4.431726e-02 1.005593e-01 1.256017e-03 4.761636e-01 6.348848e+03
1730 2.837978e+00 4.430398e-02 1.004420e-01 1.257107e-03 4.764416e-01 6.352555e+03
1740 2.855433e+00 4.429014e-02 1.003250e-01 1.258180e-03 4.767194e-01 6.356259e+03
